consumo,pr.tbc,pr.cc,pr.ca,pr.galv1,pr.galv2,pr.pint,linea,hora,temperatura,averias,naverias,sistema,ProdTotal,NOx,CO,COV,SO2,CO2,N2O
"135,31",6840,830,0,579,1401,0,A,1Âº,Alta,Si,1,OFF,11266,"0,49","3,545",545,38,"101,5","6,35"
"84,08",443,903,58,611,1636,717,A,2Âº,Alta,No,0,OFF,7251,725,"2,895",425,47,"63,565","2,23"
"131,62",7270,572,36,982,1963,243,A,3Âº,Baja,No,0,OFF,11066,"1,49","50,075","0,69",62,"988,175","5,99"
"90,46",5031,694,122,896,1568,0,A,4Âº,Baja,No,0,ON,8311,"1,715","2,16","0,36",66,"701,825","3,66"
"120,04",9365,1054,157,403,1480,0,A,5Âº,Baja,No,0,OFF,12459,465,"4,845","6,625",86,"88,53","6,06"
"153,68",9281,1003,172,605,1525,473,A,6Âº,Baja,Si,1,OFF,13059,"24,175","36,725",575,56,"1,165,375","6,15"
"99,09",3223,1118,0,643,1424,732,A,7Âº,Alta,No,0,OFF,8555,"1,025","2,845","0,44","0,07","74,98","7,75"
"226,38",10490,1077,179,737,1333,93,A,8Âº,Alta,No,0,ON,18253,"1,655","9,38","1,18",103,"169,81","9,09"
"140,07",7394,1204,167,580,934,247,A,1Âº,Alta,No,0,ON,11697,"2,775","42,925",625,58,"106,89","8,69"
"161,22",8654,851,0,828,1326,607,A,2Âº,Alta,Si,3,OFF,13194,"1,22","51,275",725,66,"1,200,325",5
"135,92",5705,369,32,777,1962,0,A,3Âº,Baja,Si,2,ON,11279,"1,095","31,925","5,125",43,"1,019,175","5,13"
"83,84",5478,0,0,626,1557,0,A,4Âº,Baja,No,0,ON,7661,"1,025","2,25","0,36",43,"60,39","3,5"
"57,84",8544,0,0,54,942,0,A,5Âº,Baja,No,0,ON,9540,"3,075","0,25","0,1",66,"429,575","3,58"
"102,66",9752,0,0,0,1112,561,A,6Âº,Alta,No,0,OFF,11425,"1,025","26,675",425,"0,1","75,28","4,43"
"66,18",4818,0,0,0,1154,675,A,7Âº,Alta,No,0,ON,6647,"1,825","1,68","0,28",64,"49,86","3,11"
"61,16",0,0,0,0,1831,715,A,8Âº,Alta,No,0,OFF,5574,"3,075","22,025",325,67,"45,265","4,16"
"99,37",7808,0,0,0,1439,0,A,1Âº,Alta,No,0,ON,9247,"1,26","24,025",395,92,"76,06","4,23"
"82,8",7607,0,0,0,1416,0,A,2Âº,Alta,No,0,ON,9023,145,"33,375","4,675",92,"62,425","6,17"
"92,29",9969,0,0,0,1556,0,A,3Âº,Baja,No,0,ON,11525,"16,825","3,425","4,875",59,"708,875","5,93"
"95,57",10296,0,0,0,1544,594,A,4Âº,Baja,No,0,ON,12434,"14,925","34,075","0,49",92,"73,34","6,11"
"149,24",9753,0,0,0,1229,558,A,5Âº,Alta,Si,3,OFF,12361,"1,765","54,625","0,75","0,06","1,124,075","7,66"
"131,95",7723,0,0,0,1376,547,A,6Âº,Alta,No,0,ON,10964,"1,845","3,78","5,675",34,"99,915","4,76"
"87,34",5950,0,0,0,1626,291,A,7Âº,Alta,No,0,ON,7867,"4,525","25,575",395,64,"662,925","2,81"
"123,58",8491,0,0,0,1694,0,A,8Âº,Alta,No,0,OFF,10326,"0,99","4,655",645,46,"921,475","4,72"
"143,07",8458,0,0,0,1248,0,A,1Âº,Baja,Si,3,OFF,11860,"2,03","3,75","5,725",54,"1,080,975","6,43"
104,7662,0,0,0,1441,0,A,2Âº,Alta,Si,4,ON,9103,"1,475","2,835","4,425",73,"76,815","7,58"
"130,08",9118,0,0,0,1626,0,A,3Âº,Alta,No,0,OFF,10785,775,"3,335","0,52",96,"98,1","3,57"
"141,55",7706,0,0,0,1662,0,A,4Âº,Baja,No,0,ON,11749,"4,725","5,035","0,7",58,"1,053,075","6,7"
"33,18",2096,0,154,0,404,0,A,5Âº,Alta,No,0,ON,3384,"9,675",585,"1,175",67,"258,125","1,93"
"83,63",5321,0,145,0,301,0,A,6Âº,Baja,No,0,OFF,7277,"3,275","2,565","3,925",63,"62,2","4,11"
"147,88",9835,0,386,0,1640,0,A,7Âº,Baja,Si,3,ON,12195,"1,29","4,305","6,325",56,"1,098,475","5,38"
"87,29",7490,0,358,0,338,0,A,8Âº,Alta,No,0,ON,8186,405,"1,21","0,26",67,"659,625","5,02"
"83,18",8084,0,265,0,13,0,A,1Âº,Alta,No,0,OFF,8362,"1,025","30,775","4,425",43,"608,925","3,94"
"76,41",7413,0,0,0,0,0,A,2Âº,Alta,No,0,OFF,7413,"12,925","19,075","3,175",56,"582,075","3,03"
"66,71",4292,0,62,0,404,0,A,3Âº,Alta,No,0,ON,6033,"2,625","20,075","3,125","0,06","49,075","5,36"
"197,65",10563,0,408,0,1710,0,A,4Âº,Baja,No,0,ON,16048,"16,225","57,175",805,34,"147,535","7,91"
